name_ido;None
ביטול מעגל תנועה הכשרת הישוב בכביש 25\;1
בניית כביש 423 והרחבת כביש 4303;1
הקמת גישה למפרץ חיפה בקצה כביש 75;1
הקמת כביש 16 ושינוי תוואי הכניסה למוצא;1
הקמת כביש 200;1
הקמת כביש 859;1
הקמת מחלף חנה בכביש 65 בהצטלבות עם 652;1
הקמת מחלף כרמיאל מערב;1
הקמת מקטע נווה ימין - אייל (444);1
הקמת עוקף אל ערוב בציר 60;1
הקמת עוקף עפולה צפון - 65;1
הרחבת 38;1
הרחבת 444 בין בן שמן וצומת נבלט;1
הרחבת 444 בין צומת המחצבות לצומת גבעת כח;1
הרחבת 453 בין צומת נבלט והכניסה הדרומית לשוהם;1
הרחבת ושדרוג כביש 79;1
הרחבת כביש 232;1
הרחבת כביש 3965;1
הרחבת כביש 90 ממחלף יוטבטה עד צומת קטורה;1
הרחבת ציר 60 בין צומת הגוש לאל ערוב;1
הרחבת ציר הגישה לאליקים / יקנעם עילית בכביש 672;1
כביש 60 - הקמת מנהרה שנייה בכביש המנהרות;1
כביש 89 - הקמת עוקף מזרח נהריה;1
כניסה דרומית ליבנה;1
כניסה צפונית לגן יבנה;1
מחלף ראש העין דרום (444);1
פרויקט שדרוג כביש 1 בירושלים - בוצע חלקית - רק מחלף רמת שלמה;1
שדורג צומת המשטרה הבריטית בכביש 60;1
שדרוג כביש 7011 - הגישה לנחשולים;1
שדרוג מסעף 9779 - 9778;1
שדרוג מסעף 9779-9888;1
שינוי תואי 574 בעקבות הקמת מחלף משמר הגבול;1
שינוי תוואי כביש 396 ליד הדסה;1
